resource_id	resource_type	name	description	eligibility_criteria	location	services_offered	contact_information	keywords	organization_types
res_001	Loan Provider	Loan Provider Resource 1	Provides loan provider services for individuals and businesses.	Individuals and businesses	Hyderabad	Debt Consolidation, Emergency Loans	Phone: (643) 954-4531, Website: www.example1.com	business banking, savings, budgeting, investment, retirement	
res_002	Credit Union	Credit Union Resource 2	Provides credit union services for individuals and businesses.	Small businesses	Online	Savings Accounts, Personal Loans, Auto Loans	Phone: (271) 666-4332, Website: www.example2.com	savings, loans, budgeting, planning, credit cards	
res_003	Bank	Bank Resource 3	Provides bank services for individuals and businesses.	Individuals	Secunderabad	Savings Accounts, Business Loans, Mortgages, Wealth Management	Phone: (737) 361-9849, Website: www.example3.com	credit cards, loans, planning, business banking, investment	Young Professionals
res_004	Loan Provider	Loan Provider Resource 4	Provides loan provider services for individuals and businesses.	Individuals and businesses	Online	Debt Consolidation, Emergency Loans	Phone: (229) 171-2009, Website: www.example4.com	planning, savings, retirement, business banking, credit cards	
res_005	Bank	Bank Resource 5	Provides bank services for individuals and businesses.	Small businesses	Online	Checking Accounts, Credit Cards, Agricultural Banking, Wealth Management	Phone: (853) 961-7778, Website: www.example5.com	savings, planning, retirement, credit cards, loans	Small Businesses
res_006	Loan Provider	Loan Provider Resource 6	Provides loan provider services for individuals and businesses.	Individuals	Gachibowli, Hyderabad	Debt Consolidation, Emergency Loans	Phone: (569) 639-2660, Website: www.example6.com	retirement, loans, budgeting, savings, credit cards	Startups
res_007	Financial Workshop	Financial Workshop Resource 7	Provides financial workshop services for individuals and businesses.	Small businesses	Gachibowli, Hyderabad	Stock Market, Mutual Funds, Beginner Investing	Phone: (531) 769-5515, Website: www.example7.com	credit cards, investment, loans, budgeting, retirement	
res_008	Financial Workshop	Financial Workshop Resource 8	Provides financial workshop services for individuals and businesses.	Women	Online	Stock Market, Mutual Funds, Beginner Investing	Phone: (483) 117-5750, Website: www.example8.com	planning, retirement, savings, loans, investment	Young Professionals
res_009	Credit Union	Credit Union Resource 9	Provides credit union services for individuals and businesses.	Individuals and businesses	Gachibowli, Hyderabad	Savings Accounts, Home Equity Loans, Financial Planning	Phone: (223) 650-7629, Website: www.example9.com	retirement, budgeting, loans, credit cards, planning	Young Professionals
res_010	Loan Provider	Loan Provider Resource 10	Provides loan provider services for individuals and businesses.	Women	Hyderabad	Secured Loans, Asset-Based Financing	Phone: (899) 127-3483, Website: www.example10.com	planning, retirement, credit cards, budgeting, loans	
res_011	Financial Workshop	Financial Workshop Resource 11	Provides financial workshop services for individuals and businesses.	Young professionals	Gachibowli, Hyderabad	Stock Market, Mutual Funds, Beginner Investing	Phone: (257) 561-8323, Website: www.example11.com	retirement, budgeting, investment, savings, loans	Young Professionals
res_012	Credit Union	Credit Union Resource 12	Provides credit union services for individuals and businesses.	Individuals	Hyderabad	Savings Accounts, Home Equity Loans, Financial Planning	Phone: (353) 972-8525, Website: www.example12.com	credit cards, business banking, planning, budgeting, loans	Women
res_013	Credit Union	Credit Union Resource 13	Provides credit union services for individuals and businesses.	Young professionals	Gachibowli, Hyderabad	Savings Accounts, Home Equity Loans, Financial Planning	Phone: (892) 500-7594, Website: www.example13.com	savings, retirement, business banking, planning, loans	Startups
res_014	Financial Workshop	Financial Workshop Resource 14	Provides financial workshop services for individuals and businesses.	Individuals	Secunderabad	Business Finance, Cash Flow Management, Access to Capital	Phone: (292) 231-3985, Website: www.example14.com	business banking, investment, loans, retirement, budgeting	Technology Companies
res_015	Credit Union	Credit Union Resource 15	Provides credit union services for individuals and businesses.	Small businesses	Gachibowli, Hyderabad	Savings Accounts, Personal Loans, Auto Loans	Phone: (936) 240-9880, Website: www.example15.com	credit cards, loans, savings, budgeting, planning	Women
res_016	Loan Provider	Loan Provider Resource 16	Provides loan provider services for individuals and businesses.	Women	Gachibowli, Hyderabad	Personal Loans, Business Loans	Phone: (563) 488-3430, Website: www.example16.com	planning, budgeting, credit cards, investment, business banking	Small Businesses
res_017	Loan Provider	Loan Provider Resource 17	Provides loan provider services for individuals and businesses.	Individuals and businesses	Online	Secured Loans, Asset-Based Financing	Phone: (954) 518-9784, Website: www.example17.com	loans, savings, budgeting, retirement, credit cards	Small Businesses
